skills,major,education_level,pay,location
"Apache Hadoop, Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,California
"Data Manipulation, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Washington
Machine Learning,Computer Science,Bachelor's degree,,California
Metadata,Computer Science,Bachelor's degree|Master's degree,,New York
Big Data,Computer Science,Bachelor's degree,,Connecticut
Artificial Intelligence,Computer Science,Associate degree,,Georgia
Artificial Intelligence,Computer Science,No Education Listed,,Texas
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree|Master's degree,,Massachusetts
Metadata,Computer Science,Bachelor's degree|Master's degree,125000.0,Massachusetts
Metadata,Computer Science,No Education Listed,,New York
Data Engineering,Computer Science,Master's degree,,Washington
Apache Hadoop,Computer Science,Bachelor's degree|Master's degree,,California
Metadata,Computer Science,No Education Listed,,Texas
Machine Learning Algorithms,Computer Science,Bachelor's degree,115000.0,New York
Splunk,Computer Science,No Education Listed,,Massachusetts
Data Science,Computer Science,Bachelor's degree,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,,Washington
Data Manipulation,Computer Science,High school or GED,31200.0,Illinois
"Apache Hadoop, Big Data, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Virginia
Splunk,Computer Science,Bachelor's degree,,Utah
Machine Learning,Computer Science,Bachelor's degree|Master's degree,100000.0,Washington
Big Data,Computer Science,No Education Listed,,California
Apache Hadoop,Computer Science,Bachelor's degree,,Maryland
Data Engineering,Computer Science,Bachelor's degree,75000.0,Michigan
Data Manipulation,Computer Science,Bachelor's degree,69973.0,Alabama
Data Manipulation Language,Computer Science,Bachelor's degree,,Texas
Artificial Intelligence,Computer Science,Ph.D. or professional degree,,North Carolina
Artificial Intelligence,Computer Science,Bachelor's degree,,Texas
"Machine Learning Methods, Machine Learning",Computer Science,No Education Listed,325000.0,Illinois
Metadata,Computer Science,High school or GED|Associate degree|Bachelor's degree|Master's degree,,Florida
"Apache Hadoop, Big Data, Data Engineering, Data Science, Machine Learning Algorithms",Computer Science,No Education Listed,,California
"Apache Hadoop, Metadata Repository, Big Data, Metadata",Computer Science,Bachelor's degree,,Maryland
Artificial Intelligence,Computer Science,Bachelor's degree,,Virginia
Machine Learning,Computer Science,Bachelor's degree|Master's degree,47840.0,Pennsylvania
Metadata,Computer Science,No Education Listed,49920.0,California
Big Data,Computer Science,No Education Listed,,California
Machine Learning,Computer Science,Ph.D. or professional degree,,California
Metadata,Computer Science,Bachelor's degree,,Kansas
"Apache Hadoop, Data Engineering, Machine Learning",Computer Science,Bachelor's degree|Master's degree,166400.0,Virginia
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Massachusetts
Big Data,Computer Science,No Education Listed,,California
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Illinois
Metadata,Computer Science,High school or GED|Associate degree,,California
Metadata,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Maryland
Metadata,Computer Science,Master's degree,,"Washington, D.C. (District of Columbia)"
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Virginia
Big Data,Computer Science,Bachelor's degree,,Connecticut
"Apache Hadoop, Big Data, Data Engineering, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
"Data Science, Machine Learning",Computer Science,Ph.D. or professional degree,,California
Apache Hadoop,Computer Science,No Education Listed,,California
"Big Data, Machine Learning",Computer Science,Bachelor's degree,105000.0,California
Data Manipulation,Computer Science,Master's degree,,New York
Data Manipulation,Computer Science,Associate degree|Bachelor's degree,,Illinois
Machine Learning,Computer Science,No Education Listed,112400.0,Pennsylvania
Data Manipulation,Computer Science,Associate degree|Bachelor's degree,,Michigan
Machine Learning,Computer Science,High school or GED,,Georgia
Artificial Intelligence,Computer Science,No Education Listed,,Illinois
"Big Data, Artificial Intelligence",Computer Science,Bachelor's degree|Ph.D. or professional degree,125000.0,Massachusetts
"Data Science, Machine Learning",Computer Science,Ph.D. or professional degree,,California
Metadata,Computer Science,Bachelor's degree,,Washington
Data Manipulation,Computer Science,Associate degree,,Connecticut
