skills,major,education_level,pay,location
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Washington
"Data Science, Apache Spark, Transformer (Machine Learning Model), Machine Learning, PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,No Education Listed,,Texas
Apache Hadoop,Computer Science,Bachelor's degree,,California
Artificial Intelligence,Computer Science,Bachelor's degree,,Michigan
Metadata,Computer Science,High school or GED|Bachelor's degree,67600.0,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,73920.0,Pennsylvania
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,High school or GED,,Nebraska
Apache Hadoop,Computer Science,No Education Listed,,North Carolina
Apache Hadoop,Computer Science,Bachelor's degree,135200.0,North Carolina
Artificial Intelligence,Computer Science,Bachelor's degree,,Maryland
"Apache Hadoop, Data Science",Computer Science,Bachelor's degree,,Washington
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,New Jersey
"Apache Hadoop, Data Science, Big Data, Apache Spark",Computer Science,Bachelor's degree,,Florida
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,New York
Torch (Machine Learning),Computer Science,Bachelor's degree,,California
Data Engineering,Computer Science,No Education Listed,,Oregon
Artificial Intelligence Systems,Computer Science,No Education Listed,,California
"Data Science, Big Data, Data Engineering, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Oregon
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,North Carolina
Metadata,Computer Science,Associate degree,61310.0,Washington
"Big Data, Artificial Intelligence",Computer Science,Bachelor's degree,,Washington
"Data Manipulation, Machine Learning",Computer Science,Bachelor's degree,,Utah
"AIOps (Artificial Intelligence For IT Operations), Splunk",Computer Science,No Education Listed,,North Carolina
"Data Science, Machine Learning, Metadata",Computer Science,Master's degree|Ph.D. or professional degree,,Tennessee
Metadata,Computer Science,Bachelor's degree,,Kansas
"Data Engineering, Big Data, Apache Spark, Data Science",Computer Science,No Education Listed,,Colorado
"Machine Learning, Artificial Intelligence, Big Data Analytics, Big Data",Computer Science,No Education Listed,,Texas
"Apache Hadoop, Data Science, Data Engineering, Artificial Intelligence",Computer Science,Bachelor's degree,,New Hampshire
"Apache Hadoop, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Virginia
Machine Learning,Computer Science,Bachelor's degree,45760.0,California
"Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,Ph.D. or professional degree,,Tennessee
Splunk,Computer Science,No Education Listed,,Minnesota
"Data Science, Big Data, Data Engineering",Computer Science,Bachelor's degree,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Hawaii
"Data Engineering, Big Data, Apache Spark",Computer Science,No Education Listed,,Ohio
"Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Machine Learning, PyTorch (Machine Learning Library)",Computer Science,Bachelor's degree,,Texas
"Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,North Carolina
Metadata,Computer Science,Bachelor's degree,,California
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,280000.0,California
"Big Data, Machine Learning Model Training, Artificial Intelligence",Computer Science,High school or GED|Bachelor's degree|Master's degree,,Florida
"Data Science, Machine Learning",Computer Science,No Education Listed,,Louisiana
Artificial Intelligence,Computer Science,Master's degree,,California
Data Manipulation,Computer Science,Bachelor's degree,114400.0,Illinois
Data Engineering,Computer Science,High school or GED|Associate degree|Bachelor's degree,,Texas
"Big Data, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,California
Artificial Intelligence,Computer Science,No Education Listed,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Washington
"Data Science, Data Engineering, Machine Learning",Computer Science,Bachelor's degree,,Washington
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Arizona
Data Science,Computer Science,Bachelor's degree|Master's degree,,New York
"Machine Learning Methods, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Artificial Intelligence,Computer Science,No Education Listed,,North Carolina
"Data Science, Big Data",Computer Science,No Education Listed,,New Jersey
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Minnesota
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
Machine Learning,Computer Science,Bachelor's degree,,Massachusetts
"Apache Hadoop, Data Science, Big Data, Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Pennsylvania
Data Science,Computer Science,No Education Listed,,Georgia
"Data Science, Machine Learning, Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Ph.D. or professional degree,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,California
Data Science,Computer Science,Bachelor's degree,,Colorado
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,California
Splunk,Computer Science,Bachelor's degree,,Connecticut
Machine Learning,Computer Science,Bachelor's degree|Master's degree,79500.0,North Carolina
Artificial Intelligence,Computer Science,Bachelor's degree,59825.0,Utah
Splunk,Computer Science,Bachelor's degree,,Maryland
"Artificial Intelligence, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Massachusetts
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Massachusetts
Artificial Intelligence,Computer Science,Bachelor's degree,,North Carolina
"Apache Hadoop, Data Manipulation, Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,Bachelor's degree,,New Jersey
"Data Engineering, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,California
Apache Spark,Computer Science,Bachelor's degree,,Colorado
Machine Learning,Computer Science,No Education Listed,,Indiana
"Apache Hadoop, Apache Spark",Computer Science,Bachelor's degree,,Washington
"Data Science, Data Engineering, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,Massachusetts
"Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Maryland
Apache Spark,Computer Science,No Education Listed,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,77500.0,Georgia
Metadata,Computer Science,No Education Listed,,New York
"Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,California
"Apache Hadoop, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Maryland
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Colorado
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,New York
"Data Science, Data Engineering, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Texas
Apache Spark,Computer Science,Bachelor's degree|Master's degree,,Oregon
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,North Carolina
Artificial Intelligence,Computer Science,Associate degree|Bachelor's degree,165000.0,Colorado
"Data Manipulation, Data Science, Machine Learning",Computer Science,Bachelor's degree,,Arizona
Artificial Intelligence,Computer Science,No Education Listed,92515.0,California
"Artificial Intelligence, Machine Learning",Computer Science,Bachelor's degree,,Louisiana
"Machine Learning Algorithms, Machine Learning, Torch (Machine Learning), Automated Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Massachusetts
"Data Science, Artificial Intelligence",Computer Science,Bachelor's degree,,North Carolina
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Pennsylvania
Artificial Intelligence,Computer Science,Bachelor's degree,,California
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,New Jersey
"Data Engineering, Machine Learning",Computer Science,Bachelor's degree,,California
"Machine Learning, Metadata, Artificial Intelligence",Computer Science,No Education Listed,,Florida
Artificial Intelligence,Computer Science,Bachelor's degree,,Minnesota
"Splunk, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,North Carolina
"Data Manipulation, Data Science",Computer Science,Bachelor's degree|Master's degree,92425.0,"Washington, D.C. (District of Columbia)"
"Splunk, Metadata",Computer Science,No Education Listed,,Oregon
"Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Virginia
"Data Engineering, AIOps (Artificial Intelligence For IT Operations), Splunk, Data Science, Artificial Intelligence",Computer Science,No Education Listed,,North Carolina
Big Data,Computer Science,Bachelor's degree,82600.0,Colorado
"Apache Hadoop, Data Science, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree,175000.0,Illinois
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Utah
Data Engineering,Computer Science,Bachelor's degree,,North Carolina
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Washington
Splunk,Computer Science,No Education Listed,,Maryland
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Arizona
Data Manipulation,Computer Science,Bachelor's degree,,New Hampshire
Artificial Intelligence,Computer Science,Bachelor's degree,,California
Splunk,Computer Science,Bachelor's degree,,North Carolina
Machine Learning,Computer Science,No Education Listed,,Nevada
Artificial Intelligence,Computer Science,No Education Listed,,Florida
"Apache Hadoop, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,New York
"Data Science, Data Engineering, Machine Learning",Computer Science,Ph.D. or professional degree,,Kentucky
"Apache Hadoop, Apache Spark, Artificial Intelligence",Computer Science,Bachelor's degree,,Arizona
Data Science,Computer Science,No Education Listed,,New York
Artificial Intelligence,Computer Science,No Education Listed,,California
Metadata,Computer Science,Bachelor's degree,,Virginia
Machine Learning Algorithms,Computer Science,Master's degree|Ph.D. or professional degree,,New Mexico
Artificial Intelligence,Computer Science,Bachelor's degree,,Connecticut
Data Manipulation,Computer Science,Bachelor's degree,,Vermont
"Data Science, Data Engineering, Apache Spark",Computer Science,Bachelor's degree,,Georgia
Apache Spark,Computer Science,High school or GED,,Illinois
"Data Engineering, Apache Spark, Artificial Intelligence",Computer Science,No Education Listed,,New Jersey
"Data Science, Machine Learning, PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,California
"Big Data, Machine Learning, PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,Ph.D. or professional degree,,New Hampshire
Artificial Intelligence,Computer Science,Bachelor's degree,45000.0,Texas
Big Data,Computer Science,Bachelor's degree,,Louisiana
"Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Texas
Machine Learning,Computer Science,Ph.D. or professional degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Florida
"Apache Hadoop, Data Science, Data Engineering, Apache Spark, Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning,Computer Science,Bachelor's degree,,Kansas
Artificial Intelligence,Computer Science,No Education Listed,,Georgia
Machine Learning,Computer Science,Ph.D. or professional degree,,"Washington, D.C. (District of Columbia)"
Splunk,Computer Science,No Education Listed,,North Carolina
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Washington
Data Science,Computer Science,Master's degree,,Washington
"Data Science, Data Engineering",Computer Science,Bachelor's degree,,Utah
"Machine Learning, Artificial Intelligence, Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Virginia
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Texas
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Virginia
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Alabama
Machine Learning,Computer Science,Ph.D. or professional degree,,Virginia
"Data Science, Apache Spark, Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Illinois
"Data Science, Splunk, Machine Learning",Computer Science,Bachelor's degree,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,,Illinois
Metadata,Computer Science,Bachelor's degree,130000.0,New York
Data Engineering,Computer Science,No Education Listed,,California
"Machine Learning, PyTorch (Machine Learning Library)",Computer Science,Ph.D. or professional degree,,California
Data Manipulation,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Data Science, Machine Learning",Computer Science,No Education Listed,,Connecticut
Machine Learning,Computer Science,Master's degree,,New Mexico
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,,Ohio
Big Data,Computer Science,Bachelor's degree|Master's degree,,California
"Data Science, Azure Machine Learning, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Michigan
"Data Manipulation, Big Data, Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,"Washington, D.C. (District of Columbia)"
Machine Learning,Computer Science,No Education Listed,,Texas
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Minnesota
"Data Science, Data Engineering, Machine Learning",Computer Science,Ph.D. or professional degree,,Ohio
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Texas
Metadata,Computer Science,Associate degree|Bachelor's degree,,Pennsylvania
Splunk,Computer Science,No Education Listed,236156.0,California
Artificial Intelligence,Computer Science,Bachelor's degree,,Georgia
"Apache Hadoop, Big Data, Machine Learning, Artificial Intelligence, MLOps (Machine Learning Operations)",Computer Science,Bachelor's degree|Master's degree,,California
Metadata,Computer Science,No Education Listed,,Arizona
Artificial Intelligence,Computer Science,Bachelor's degree,,Missouri
Machine Learning,Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,New York
Metadata,Computer Science,Bachelor's degree,,Delaware
"Data Science, Machine Learning",Computer Science,No Education Listed,,Texas
"Apache Hadoop, Data Engineering, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,New Jersey
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,129500.0,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,New Jersey
Splunk,Computer Science,Bachelor's degree,,Virginia
Metadata,Computer Science,Bachelor's degree,,Tennessee
Data Manipulation Language,Computer Science,Bachelor's degree,,Minnesota
"Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,124931.0,Virginia
"Data Science, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Apache Hadoop, Data Science, Apache Spark, Machine Learning",Computer Science,Master's degree,,Texas
Artificial Intelligence,Computer Science,Associate degree|Bachelor's degree,,Texas
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,New Jersey
"Apache Spark, Big Data, Artificial Intelligence",Computer Science,Bachelor's degree,,Texas
"Machine Learning, PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,California
"Data Engineering, Machine Learning",Computer Science,No Education Listed,190000.0,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,96429.0,Maryland
Machine Learning,Computer Science,Bachelor's degree,,California
Data Manipulation,Computer Science,Bachelor's degree,,Kansas
"Data Science, Big Data, Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Splunk,Computer Science,No Education Listed,,Illinois
Big Data,Computer Science,No Education Listed,,Arizona
"Data Science, Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Virginia
Machine Learning,Computer Science,Bachelor's degree,,Maryland
"Machine Learning, Artificial Intelligence",Computer Science,High school or GED|Associate degree|Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Artificial Intelligence,Computer Science,No Education Listed,,Florida
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Data Engineering,Computer Science,Bachelor's degree,,Alabama
Machine Learning,Computer Science,Bachelor's degree|Master's degree,90652.0,Colorado
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Illinois
Metadata,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Big Data, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Missouri
Machine Learning,Computer Science,No Education Listed,,New York
"Data Engineering, Machine Learning",Computer Science,No Education Listed,147500.0,New York
Apache Spark,Computer Science,Bachelor's degree|Master's degree,,Florida
Artificial Intelligence,Computer Science,Bachelor's degree,,Illinois
Machine Learning,Computer Science,Bachelor's degree,,Texas
"Data Engineering, Machine Learning",Computer Science,No Education Listed,,California
"Data Science, Machine Learning Algorithms",Computer Science,Master's degree,,New Jersey
"Apache Hadoop, Big Data, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,Minnesota
"Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,California
Splunk,Computer Science,Bachelor's degree,,Texas
Splunk,Computer Science,Bachelor's degree,,Michigan
"Splunk, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,California
Data Manipulation,Computer Science,No Education Listed,,Pennsylvania
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Massachusetts
"Data Engineering, Big Data, Apache Spark",Computer Science,Bachelor's degree,,Illinois
Data Science,Computer Science,Bachelor's degree,124800.0,Washington
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Florida
Data Manipulation,Computer Science,No Education Listed,,West Virginia
Data Manipulation,Computer Science,No Education Listed,,New Hampshire
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Arizona
Machine Learning,Computer Science,Master's degree,,Texas
Data Engineering,Computer Science,Bachelor's degree,,New York
Metadata,Computer Science,Bachelor's degree|Master's degree,,California
Metadata,Computer Science,Bachelor's degree,,Pennsylvania
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,105000.0,Texas
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Massachusetts
"Data Science, MLOps (Machine Learning Operations), Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,Georgia
Data Science,Computer Science,Bachelor's degree|Master's degree,,Washington
Splunk,Computer Science,Bachelor's degree,,California
"Big Data, Machine Learning Algorithms, Artificial Intelligence",Computer Science,No Education Listed,,North Carolina
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Arizona
Artificial Intelligence,Computer Science,No Education Listed,,New York
Big Data,Computer Science,Master's degree,,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree,176800.0,Texas
"Apache Hadoop, Apache Spark, Big Data",Computer Science,No Education Listed,,Florida
"Apache Hadoop, Apache Spark",Computer Science,No Education Listed,,Texas
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,New York
"Data Science, Machine Learning",Computer Science,Ph.D. or professional degree,,North Carolina
Data Manipulation,Computer Science,Master's degree|Ph.D. or professional degree,104000.0,California
Artificial Intelligence,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Washington
Machine Learning,Computer Science,Master's degree,,New York
Metadata,Computer Science,Bachelor's degree,,New York
Artificial Intelligence,Computer Science,Bachelor's degree,74715.0,Utah
Data Engineering,Computer Science,No Education Listed,,Ohio
"Apache Hadoop, Data Science, Apache Spark, Machine Learning, PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Arizona
"Apache Hadoop, Data Science, Data Engineering, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,California
"Big Data, Machine Learning",Computer Science,Bachelor's degree,115399.0,Maryland
"Apache Hadoop, Metadata Management, Big Data, Data Engineering, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Connecticut
Machine Learning,Computer Science,Bachelor's degree,,Washington
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,New York
Data Engineering,Computer Science,Bachelor's degree|Master's degree,,Texas
"Big Data, Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Virginia
Apache Hadoop,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,No Education Listed,162500.0,Indiana
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Wisconsin
Artificial Intelligence,Computer Science,No Education Listed,,Virginia
"Data Science, Big Data, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Florida
"Data Science, Big Data",Computer Science,Bachelor's degree,,Pennsylvania
"Big Data, Machine Learning Methods, Data Science",Computer Science,Bachelor's degree,,Ohio
Big Data,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,81500.0,Texas
"Apache Hadoop, Data Science, Data Engineering, Big Data, Apache Spark, Machine Learning",Computer Science,No Education Listed,,California
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,California
Splunk,Computer Science,Bachelor's degree,,Arizona
"Apache Hadoop, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Metadata,Computer Science,Bachelor's degree,63034.0,Illinois
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
"Machine Learning Methods, Machine Learning, PyTorch (Machine Learning Library)",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Massachusetts
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,No Education Listed,,North Carolina
"Big Data, Data Science",Computer Science,Bachelor's degree|Master's degree,,Texas
Machine Learning,Computer Science,Bachelor's degree,,Washington
Apache Hadoop,Computer Science,Bachelor's degree,,Illinois
"Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree,,Florida
Data Engineering,Computer Science,Bachelor's degree,,New York
"Data Science, Data Engineering, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Virginia
Data Engineering,Computer Science,Bachelor's degree|Master's degree,,Pennsylvania
"Apache Hadoop, Data Science, Big Data, Apache Spark, Machine Learning Algorithms, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,135200.0,Texas
"Data Science, Data Engineering, Apache Spark, Apache Hadoop, Machine Learning",Computer Science,Bachelor's degree,,Virginia
Big Data,Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning,Computer Science,Bachelor's degree,,New York
"Data Engineering, Machine Learning",Computer Science,No Education Listed,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,122000.0,California
"Big Data, Data Science, Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,167300.0,Arizona
Metadata,Computer Science,No Education Listed,,California
"Machine Learning, Artificial Intelligence",Computer Science,Master's degree,,Florida
Big Data,Computer Science,Bachelor's degree,,Missouri
Machine Learning,Computer Science,Bachelor's degree,146640.0,New York
"Data Science, Big Data, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Florida
Data Manipulation,Computer Science,No Education Listed,,New York
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Arizona
"Data Science, Machine Learning",Computer Science,No Education Listed,,New Jersey
"Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Pennsylvania
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,New York
"Big Data, Machine Learning",Computer Science,Bachelor's degree,,Nebraska
Machine Learning,Computer Science,Bachelor's degree,,Connecticut
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,140400.0,Ohio
"Data Engineering, Data Science",Computer Science,Bachelor's degree|Master's degree,,Tennessee
Data Engineering,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Data Engineering, Apache Spark, Metadata",Computer Science,Bachelor's degree,,Virginia
Data Manipulation,Computer Science,Bachelor's degree,,Hawaii
Data Science,Computer Science,No Education Listed,87292.0,Nebraska
"Apache Hadoop, Data Engineering, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Rhode Island
"Big Data, Machine Learning",Computer Science,Bachelor's degree,,Maryland
Apache Hadoop,Computer Science,Bachelor's degree|Master's degree,,Maryland
"Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree,130000.0,Texas
"Data Engineering, Artificial Intelligence",Computer Science,No Education Listed,,New Jersey
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Texas
Artificial Intelligence,Computer Science,High school or GED|Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,No Education Listed,,Texas
"Data Science, Azure Machine Learning, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,106230.0,Washington
"Apache Spark, Big Data",Computer Science,No Education Listed,,Texas
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Virginia
"Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Machine Learning,Computer Science,No Education Listed,,California
"Data Science, Apache Spark, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Utah
"Data Engineering, Machine Learning",Computer Science,Bachelor's degree,,California
"Machine Learning Model Training, Machine Learning, PyTorch (Machine Learning Library)",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Tennessee
Big Data,Computer Science,Bachelor's degree,102040.0,Virginia
Machine Learning,Computer Science,Bachelor's degree,,North Carolina
"Data Engineering, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,New York
"Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Georgia
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,107120.0,Ohio
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,105000.0,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,125077.0,New York
Metadata,Computer Science,No Education Listed,,New York
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,California
"Big Data, Artificial Intelligence",Computer Science,Bachelor's degree,,Washington
"PyTorch (Machine Learning Library), Artificial Intelligence, Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Data Science,Computer Science,Master's degree,,California
Apache Hadoop,Computer Science,Bachelor's degree,,Texas
"Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,New York
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Master's degree,149550.0,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,New Jersey
Artificial Intelligence,Computer Science,Bachelor's degree,,New York
"Data Science, Big Data, Machine Learning Methods, Apache Spark, Machine Learning, PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,Texas
Big Data,Computer Science,No Education Listed,,Texas
"Data Engineering, Apache Spark",Computer Science,No Education Listed,,Illinois
